iter	RMSE
0	30.01835076
1	29.10854891
2	28.22382697
3	27.42193425
4	26.69583454
5	25.99673208
6	25.32907952
7	24.71143391
8	24.10423707
9	23.53725982
10	23.01167088
11	22.52137738
12	22.00297593
13	21.56960197
14	21.12982988
15	20.72167361
16	20.37221981
17	20.04053998
18	19.70992963
19	19.38531339
20	19.08702555
21	18.81420927
22	18.54806195
23	18.29123782
24	18.02908075
25	17.76230198
26	17.5081894
27	17.29603483
28	17.11899118
29	16.89772217
30	16.69387693
31	16.54596119
32	16.39963001
33	16.25929168
34	16.13489315
35	15.95490897
36	15.8241653
37	15.71452231
38	15.61708869
39	15.50432238
40	15.38126773
41	15.28027854
42	15.18924912
43	15.11966304
44	15.04727294
45	14.98016982
46	14.89014784
47	14.78536824
48	14.72716724
49	14.65815104
50	14.59371743
51	14.51116356
52	14.44784821
53	14.37470019
54	14.30961803
55	14.23793314
56	14.16821438
57	14.13594868
58	14.09193761
59	14.05941585
60	14.0128527
61	13.93996724
62	13.89591189
63	13.81270378
64	13.7796281
65	13.75307498
66	13.72321984
67	13.69356784
68	13.62774545
69	13.58718547
70	13.54308809
71	13.48243774
72	13.42424828
73	13.38024173
74	13.34133165
75	13.28771296
76	13.23750938
77	13.20375692
78	13.17831115
79	13.14787444
80	13.11027856
81	13.06001842
82	13.02452861
83	12.99975035
84	12.95970764
85	12.93991762
86	12.9136979
87	12.88528046
88	12.84976801
89	12.81223395
90	12.78614757
91	12.76149019
92	12.7423775
93	12.70305919
94	12.67580228
95	12.64434195
96	12.60754936
97	12.54271069
98	12.50254374
99	12.4770461
100	12.4528566
101	12.41389084
102	12.40087107
103	12.37459384
104	12.35599914
105	12.30438151
106	12.28412161
107	12.25352059
108	12.22575623
109	12.20156484
110	12.15884342
111	12.1303356
112	12.09677909
113	12.05999427
114	12.0372981
115	12.02748748
116	12.00587483
117	11.99180079
118	11.96519667
119	11.95874365
120	11.93470763
121	11.89448243
122	11.87506164
123	11.86531495
124	11.83715288
125	11.8173464
126	11.79836574
127	11.78891685
128	11.76235821
129	11.73137963
130	11.67959754
131	11.65414071
132	11.63272995
133	11.61902901
134	11.60212077
135	11.57498754
136	11.56367174
137	11.53165894
138	11.48597296
139	11.46105617
140	11.43688009
141	11.41539689
142	11.40893491
143	11.39578445
144	11.37247338
145	11.354938
146	11.34382556
147	11.31443196
148	11.28237449
149	11.24683882
150	11.21700945
151	11.20643786
152	11.18674474
153	11.16665343
154	11.16118316
155	11.15280327
156	11.12992264
157	11.11438016
158	11.09757803
159	11.06637808
160	11.04578402
161	11.02489622
162	11.00613496
163	10.99535066
164	10.97496783
165	10.96796349
166	10.94292716
167	10.91902984
168	10.90011942
169	10.87950725
170	10.87214395
171	10.84198112
172	10.81481953
173	10.79587458
174	10.78031464
175	10.75081852
176	10.73329783
177	10.71404253
178	10.69541751
179	10.68512708
180	10.66613755
181	10.65168529
182	10.6269567
183	10.60826138
184	10.58648302
185	10.57496725
186	10.55826114
187	10.54954634
188	10.54341893
189	10.52868446
190	10.51167458
191	10.49641789
192	10.46827851
193	10.45248512
194	10.42949247
195	10.41495234
196	10.40607315
197	10.39788649
198	10.38084765
199	10.36819957
200	10.36172695
201	10.3401802
202	10.3351105
203	10.32845039
204	10.30932858
205	10.291725
206	10.2776132
207	10.27126437
208	10.23369856
209	10.22851589
210	10.21358284
211	10.20036208
212	10.19519238
213	10.18690854
214	10.15658834
215	10.14068578
216	10.12500003
217	10.10022435
218	10.0958665
219	10.07643557
220	10.06944991
221	10.06284542
222	10.04595001
223	10.04273468
224	10.03729472
225	10.01414788
226	9.992934472
227	9.981496447
228	9.978330125
229	9.96508748
230	9.958543751
231	9.9498169
232	9.941968914
233	9.935682883
234	9.927843377
235	9.924078374
236	9.919769595
237	9.907727522
238	9.903380304
239	9.895797684
240	9.881107054
241	9.877719729
242	9.849540523
243	9.845530558
244	9.819295113
245	9.812461381
246	9.787923115
247	9.780566983
248	9.77400721
249	9.762556798
250	9.75249702
251	9.743132443
252	9.732084225
253	9.728275095
254	9.714351043
255	9.701731774
256	9.689844797
257	9.668632347
258	9.661676977
259	9.653163548
260	9.646420416
261	9.639888801
262	9.633559928
263	9.627425543
264	9.621547165
265	9.615647185
266	9.607427351
267	9.590793355
268	9.580757762
269	9.558269192
270	9.550091574
271	9.537534491
272	9.530407772
273	9.517253017
274	9.508843266
275	9.505724587
276	9.490205307
277	9.48084225
278	9.474159338
279	9.46737724
280	9.452063902
281	9.442751748
282	9.433926959
283	9.423809112
284	9.407977969
285	9.398583172
286	9.392354477
287	9.389452094
288	9.383154046
289	9.366987981
290	9.357645101
291	9.349672239
292	9.334617715
293	9.331799832
294	9.324204414
295	9.303484491
296	9.286236457
297	9.270217982
298	9.26130794
299	9.255062287
